"","date","city","count"
"1",1948-01-10,"London",NA
"2",1948-01-17,"London",240
"3",1948-01-24,"London",284
"4",1948-01-31,"London",340
"5",1948-02-07,"London",511
"6",1948-02-14,"London",649
"7",1948-02-21,"London",766
"8",1948-02-28,"London",932
"9",1948-03-06,"London",1303
"10",1948-03-13,"London",1257
"11",1948-03-20,"London",1716
"12",1948-03-27,"London",1425
"13",1948-04-03,"London",1719
"14",1948-04-10,"London",1809
"15",1948-04-17,"London",1360
"16",1948-04-24,"London",1147
"17",1948-05-01,"London",1101
"18",1948-05-08,"London",936
"19",1948-05-15,"London",1041
"20",1948-05-22,"London",994
"21",1948-05-29,"London",1134
"22",1948-06-05,"London",818
"23",1948-06-12,"London",1083
"24",1948-06-19,"London",755
"25",1948-06-26,"London",880
"26",1948-07-03,"London",680
"27",1948-07-10,"London",585
"28",1948-07-17,"London",602
"29",1948-07-24,"London",552
"30",1948-07-31,"London",457
"31",1948-08-07,"London",430
"32",1948-08-14,"London",287
"33",1948-08-21,"London",189
"34",1948-08-28,"London",149
"35",1948-09-04,"London",120
"36",1948-09-11,"London",88
"37",1948-09-18,"London",83
"38",1948-09-25,"London",91
"39",1948-10-02,"London",94
"40",1948-10-09,"London",79
"41",1948-10-16,"London",78
"42",1948-10-23,"London",86
"43",1948-10-30,"London",119
"44",1948-11-06,"London",123
"45",1948-11-13,"London",108
"46",1948-11-20,"London",135
"47",1948-11-27,"London",127
"48",1948-12-04,"London",157
"49",1948-12-11,"London",176
"50",1948-12-18,"London",180
"51",1948-12-25,"London",110
"52",1949-01-01,"London",294
"53",1949-01-08,"London",318
"54",1949-01-15,"London",320
"55",1949-01-22,"London",357
"56",1949-01-29,"London",487
"57",1949-02-05,"London",496
"58",1949-02-12,"London",809
"59",1949-02-19,"London",777
"60",1949-02-26,"London",831
"61",1949-03-05,"London",1081
"62",1949-03-12,"London",1034
"63",1949-03-19,"London",1231
"64",1949-03-26,"London",1274
"65",1949-04-02,"London",1487
"66",1949-04-09,"London",1753
"67",1949-04-16,"London",1635
"68",1949-04-23,"London",1699
"69",1949-04-30,"London",1541
"70",1949-05-07,"London",1170
"71",1949-05-14,"London",1108
"72",1949-05-21,"London",1105
"73",1949-05-28,"London",953
"74",1949-06-04,"London",1083
"75",1949-06-11,"London",801
"76",1949-06-18,"London",908
"77",1949-06-25,"London",613
"78",1949-07-02,"London",714
"79",1949-07-09,"London",523
"80",1949-07-16,"London",490
"81",1949-07-23,"London",379
"82",1949-07-30,"London",303
"83",1949-08-06,"London",273
"84",1949-08-13,"London",223
"85",1949-08-20,"London",158
"86",1949-08-27,"London",120
"87",1949-09-03,"London",92
"88",1949-09-10,"London",66
"89",1949-09-17,"London",42
"90",1949-09-24,"London",50
"91",1949-10-01,"London",40
"92",1949-10-08,"London",28
"93",1949-10-15,"London",44
"94",1949-10-22,"London",40
"95",1949-10-29,"London",63
"96",1949-11-05,"London",33
"97",1949-11-12,"London",48
"98",1949-11-19,"London",23
"99",1949-11-26,"London",28
"100",1949-12-03,"London",31
"101",1949-12-10,"London",26
"102",1949-12-17,"London",34
"103",1949-12-24,"London",32
"104",1949-12-31,"London",47
"105",1950-01-07,"London",43
"106",1950-01-14,"London",54
"107",1950-01-21,"London",36
"108",1950-01-28,"London",24
"109",1950-02-04,"London",42
"110",1950-02-11,"London",38
"111",1950-02-18,"London",71
"112",1950-02-25,"London",45
"113",1950-03-04,"London",75
"114",1950-03-11,"London",60
"115",1950-03-18,"London",54
"116",1950-03-25,"London",98
"117",1950-04-01,"London",118
"118",1950-04-08,"London",91
"119",1950-04-15,"London",171
"120",1950-04-22,"London",174
"121",1950-04-29,"London",203
"122",1950-05-06,"London",141
"123",1950-05-13,"London",262
"124",1950-05-20,"London",366
"125",1950-05-27,"London",463
"126",1950-06-03,"London",478
"127",1950-06-10,"London",613
"128",1950-06-17,"London",529
"129",1950-06-24,"London",645
"130",1950-07-01,"London",626
"131",1950-07-08,"London",649
"132",1950-07-15,"London",647
"133",1950-07-22,"London",601
"134",1950-07-29,"London",580
"135",1950-08-05,"London",664
"136",1950-08-12,"London",474
"137",1950-08-19,"London",362
"138",1950-08-26,"London",316
"139",1950-09-02,"London",199
"140",1950-09-09,"London",162
"141",1950-09-16,"London",146
"142",1950-09-23,"London",201
"143",1950-09-30,"London",217
"144",1950-10-07,"London",289
"145",1950-10-14,"London",303
"146",1950-10-21,"London",366
"147",1950-10-28,"London",471
"148",1950-11-04,"London",512
"149",1950-11-11,"London",544
