country,subcountry,location_name
CA,,Canada
CA,AB,Alberta
CA,BC,British Columbia
CA,MB,Manitoba
CA,NB,New Brunswick
CA,NL,Newfoundland and Labrador
CA,NS,Nova Scotia
CA,ON,Ontario
CA,PE,Prince Edward Island
CA,QC,Quebec
CA,SK,Saskatchewan
CA,NT,Northwest Territories
CA,NU,Nunavut
CA,YT,Yukon
CA,,Canada-Prairies
CA,,Canada-Atlantic
CA,,Canada-Territories
CA,QC,Centre-du-Quebec
CA,ON,Hamilton
CA,ON,Kingston
CA,ON,London
CA,QC,Monteregie
CA,QC,Montreal
CA,QC,Nord Est du Quebec
CA,ON,Orillia
CA,ON,Ottawa
CA,QC,Ouest du Quebec
CA,ON,Peterborough
CA,QC,Quebec ville
CA,QC,Quebec-Chaudiere-Appalaches
CA,SK,Regina
CA,SK,Saskatoon
CA,ON,Sault Ste. Marie
CA,ON,Sudbury
CA,ON,Thunder Bay
CA,ON,Timmins
CA,ON,Toronto
